Qualification,Subject,Year,n,pc,Number of entries,Grade threshold
Advanced highers (SCQF level 7),Art and Design (Design),2021,297,0.46799999999999997,634,A
Advanced highers (SCQF level 7),Art and Design (Design),2021,486,0.767,634,B & above
Advanced highers (SCQF level 7),Art and Design (Design),2021,603,0.951,634,C & above
Advanced highers (SCQF level 7),Art and Design (Design),2021,621,0.9790000000000001,634,D & above
Advanced highers (SCQF level 7),Art and Design (Design),2021,13,0.021,634,U
Advanced highers (SCQF level 7),Art and Design (Expressive),2021,551,0.47200000000000003,"1,167",A
Advanced highers (SCQF level 7),Art and Design (Expressive),2021,923,0.7909999999999999,"1,167",B & above
Advanced highers (SCQF level 7),Art and Design (Expressive),2021,1110,0.951,"1,167",C & above
Advanced highers (SCQF level 7),Art and Design (Expressive),2021,1147,0.983,"1,167",D & above
Advanced highers (SCQF level 7),Art and Design (Expressive),2021,20,0.017,"1,167",U
Advanced highers (SCQF level 7),Biology,2021,1241,0.419,"2,961",A
Advanced highers (SCQF level 7),Biology,2021,1939,0.655,"2,961",B & above
Advanced highers (SCQF level 7),Biology,2021,2490,0.841,"2,961",C & above
Advanced highers (SCQF level 7),Biology,2021,2768,0.935,"2,961",D & above
Advanced highers (SCQF level 7),Biology,2021,193,0.065,"2,961",U
Advanced highers (SCQF level 7),Business Management,2021,341,0.579,589,A
Advanced highers (SCQF level 7),Business Management,2021,470,0.7979999999999999,589,B & above
Advanced highers (SCQF level 7),Business Management,2021,554,0.941,589,C & above
Advanced highers (SCQF level 7),Business Management,2021,577,0.98,589,D & above
Advanced highers (SCQF level 7),Business Management,2021,12,0.02,589,U
Advanced highers (SCQF level 7),Chemistry,2021,1211,0.45299999999999996,"2,675",A
Advanced highers (SCQF level 7),Chemistry,2021,1856,0.6940000000000001,"2,675",B & above
Advanced highers (SCQF level 7),Chemistry,2021,2306,0.862,"2,675",C & above
Advanced highers (SCQF level 7),Chemistry,2021,2506,0.937,"2,675",D & above
Advanced highers (SCQF level 7),Chemistry,2021,169,0.063,"2,675",U
Advanced highers (SCQF level 7),Computing Science,2021,265,0.469,565,A
Advanced highers (SCQF level 7),Computing Science,2021,390,0.69,565,B & above
Advanced highers (SCQF level 7),Computing Science,2021,501,0.887,565,C & above
Advanced highers (SCQF level 7),Computing Science,2021,535,0.9470000000000001,565,D & above
Advanced highers (SCQF level 7),Computing Science,2021,30,0.053,565,U
